a,b,theta,A1,A2,phi,status
7.9,6.1,28.5,6,-8,39,NotYet
7.9,6.1,28.5,6,-2,39,NotYet
7.9,6.1,28.5,6,-4,39,NotYet
7.9,6.1,28.5,6,-6,39,NotYet
7.9,6.1,28.5,4,-8,39,NotYet
7.9,6.1,28.5,4,-2,39,NotYet
7.9,6.1,28.5,4,-4,39,NotYet
7.9,6.1,28.5,4,-6,39,NotYet
7.9,6.1,28.5,2,-8,39,NotYet
7.9,6.1,28.5,2,-2,39,NotYet
7.9,6.1,28.5,2,-4,39,NotYet
7.9,6.1,28.5,2,-6,39,NotYet
7.9,6.1,28.5,0,-8,39,NotYet
7.9,6.1,28.5,0,-2,39,NotYet
7.9,6.1,28.5,0,-4,39,NotYet
7.9,6.1,28.5,0,-6,39,NotYet
