a,b,theta,E,E_p,E_t,machine_type,status,file_name
6.2,8.8,58.0,-36.14950822899118,-4.7394512528553605,-6.667651430820115,2,Done,BTBT_theta=58.0_a=6.2_b=8.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.8,4.2,58.0,-29.72120793582872,-10.056261906400325,-2.402171030757017,2,Done,BTBT_theta=58.0_a=12.8_b=4.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.8,4.2,58.5,-29.725813860539347,-10.087580930441618,-2.387662999914028,2,Done,BTBT_theta=58.5_a=12.8_b=4.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.0,8.7,58.5,-38.10825559357181,-5.192569948732853,-6.930778924026527,1,Done,BTBT_theta=58.5_a=6.0_b=8.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.9,8.5,58.0,-39.75554464478046,-5.38323258724995,-7.2472698675701395,2,Done,BTBT_theta=58.0_a=5.9_b=8.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.9,4.0,58.0,-29.258055355399847,-10.042808092199266,-2.293109792750329,2,Done,BTBT_theta=58.0_a=12.9_b=4.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.9,4.0,58.5,-29.505507649388164,-10.200984537834302,-2.2758846434298903,2,Done,BTBT_theta=58.5_a=12.9_b=4.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.7,4.2,59.0,-29.66315071238205,-10.10727846971713,-2.362148443236947,1,Done,BTBT_theta=59.0_a=12.7_b=4.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.9,8.6,58.0,-39.27416917309165,-5.38323258724995,-7.126925999647938,2,Done,BTBT_theta=58.0_a=5.9_b=8.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.9,4.1,58.0,-29.7783991987817,-10.20044487924315,-2.3443773600738496,2,Done,BTBT_theta=58.0_a=12.9_b=4.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.9,4.1,58.5,-29.89603222347796,-10.285566610982642,-2.331224750378169,2,Done,BTBT_theta=58.5_a=12.9_b=4.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.1,8.6,59.0,-38.10679977014661,-4.988767251139507,-7.032316316966899,1,Done,BTBT_theta=59.0_a=6.1_b=8.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.9,8.7,58.0,-38.71159390732646,-5.38323258724995,-6.98628218320664,2,Done,BTBT_theta=58.0_a=5.9_b=8.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.9,4.2,58.0,-29.66382842278108,-10.056261906400325,-2.3878261524951085,2,Done,BTBT_theta=58.0_a=12.9_b=4.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.9,4.2,58.5,-29.6886903680861,-10.087580930441618,-2.378382126800716,2,Done,BTBT_theta=58.5_a=12.9_b=4.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.0,8.5,58.0,-39.38941765995696,-5.206293592462316,-7.244207618758082,2,Done,BTBT_theta=58.0_a=6.0_b=8.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.1,8.5,58.5,-38.83001759555191,-4.991603596135974,-7.21170260081999,1,Done,BTBT_theta=58.5_a=6.1_b=8.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.7,4.1,59.5,-29.83736003935337,-10.408979002851993,-2.2548505084123462,2,Done,BTBT_theta=59.5_a=12.7_b=4.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.8,4.2,59.5,-29.64344689808786,-10.11628951318562,-2.352716967929154,2,Done,BTBT_theta=59.5_a=12.8_b=4.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
13.0,4.0,58.5,-29.50987511966377,-10.200984537834302,-2.276976510998793,1,Done,BTBT_theta=58.5_a=13.0_b=4.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.1,8.5,58.0,-38.879427732899785,-4.986313686938956,-7.226700089755468,2,Done,BTBT_theta=58.0_a=6.1_b=8.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.8,4.0,59.0,-29.615008145105094,-10.337549539050087,-2.2349772667512298,1,Done,BTBT_theta=59.0_a=12.8_b=4.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.2,8.4,59.0,-38.772073321510106,-4.771002455614507,-7.307517102570273,2,Done,BTBT_theta=59.0_a=6.2_b=8.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.7,4.2,59.5,-29.582628628704697,-10.11628951318562,-2.337512400583364,2,Done,BTBT_theta=59.5_a=12.7_b=4.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.1,8.7,58.5,-37.51673956727609,-4.991603596135974,-6.883383093751036,1,Done,BTBT_theta=58.5_a=6.1_b=8.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.8,8.4,58.0,-40.18965606251732,-5.497276254463941,-7.298775888397358,2,Done,BTBT_theta=58.0_a=5.8_b=8.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
