a,b,theta,E,E_p,E_t,machine_type,status,file_name
6.3,9.5,26.0,-27.0721493717283,-1.3418234584387392,-6.097125613712706,1,Done,BTBT_theta=26.0_a=6.3_b=9.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,9.3,25.5,-27.347450559493154,-1.1911834080237895,-6.241270935861394,2,Done,BTBT_theta=25.5_a=6.4_b=9.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
8.0,6.6,26.0,-37.42664168169722,-3.967275097733364,-7.373022871557623,1,Done,BTBT_theta=26.0_a=8.0_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
8.0,6.5,25.5,-37.92292678821832,-4.123499986948445,-7.418981703580357,2,Done,BTBT_theta=25.5_a=8.0_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.7,26.0,-35.09161422075704,-10.977747791446744,-3.2840296594658867,1,Done,BTBT_theta=26.0_a=3.9_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.0,12.6,25.5,-35.034611211624,-10.785190072609112,-3.366057766601444,2,Done,BTBT_theta=25.5_a=4.0_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,9.3,26.0,-27.43474974995479,-1.2138867194298657,-6.251744077773765,1,Done,BTBT_theta=26.0_a=6.4_b=9.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,9.4,25.5,-27.050462627783418,-1.1911834080237895,-6.16702395293396,2,Done,BTBT_theta=25.5_a=6.4_b=9.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
8.0,6.6,25.5,-37.32504781195894,-3.962700549745932,-7.349911678116769,2,Done,BTBT_theta=25.5_a=8.0_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.0,12.7,25.5,-34.82923973817378,-10.785190072609112,-3.31471489823889,2,Done,BTBT_theta=25.5_a=4.0_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
8.1,6.4,26.0,-37.98890319094062,-4.28545404295437,-7.354498776257969,1,Done,BTBT_theta=26.0_a=8.1_b=6.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.0,12.5,26.0,-35.25385065563023,-10.804222451057283,-3.411351438378915,1,Done,BTBT_theta=26.0_a=4.0_b=12.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
