a,b,theta,A1,A2,phi,status
6.1,7.9,61.5,4,-14,81,NotYet
6.1,7.9,61.5,4,-12,81,NotYet
6.1,7.9,61.5,4,-10,81,NotYet
6.1,7.9,61.5,4,-8,81,NotYet
6.1,7.9,61.5,3,-14,81,NotYet
6.1,7.9,61.5,3,-12,81,NotYet
6.1,7.9,61.5,3,-10,81,NotYet
6.1,7.9,61.5,3,-8,81,NotYet
6.1,7.9,61.5,5,-14,81,NotYet
6.1,7.9,61.5,5,-12,81,NotYet
6.1,7.9,61.5,5,-10,81,NotYet
6.1,7.9,61.5,5,-8,81,NotYet
