a,b,theta,A1,A2,status
7.9,6,27,2,-6,NotYet
7.9,6,27,1,-6,NotYet
7.9,6,27,3,-6,NotYet
7.9,6,27,0,-6,NotYet
7.9,6,27,4,-6,NotYet
7.9,6,27,2,-5,NotYet
7.9,6,27,1,-5,NotYet
7.9,6,27,3,-5,NotYet
7.9,6,27,0,-5,NotYet
7.9,6,27,4,-5,NotYet
7.9,6,27,2,-7,NotYet
7.9,6,27,1,-7,NotYet
7.9,6,27,3,-7,NotYet
7.9,6,27,0,-7,NotYet
7.9,6,27,4,-7,NotYet
