a,b,theta,A1,A2
7.9,6.1,28.5,2,-10
7.9,6.1,28.5,2,-9
7.9,6.1,28.5,2,-8
7.9,6.1,28.5,2,-7
7.7,6.3,28.5,2,-6
7.7,6.4,28.5,2,-5
7.7,6.5,28.5,2,-4
