a,b,theta,A1,A2,phi,status
7.9,6.1,28.5,2,-10,39,NotYet
7.9,6.1,28.5,2,-8,39,NotYet
7.9,6.1,28.5,2,-6,39,NotYet
7.9,6.1,28.5,2,-4,39,NotYet
7.9,6.1,28.5,2,-12,39,NotYet
7.9,6.1,28.5,1,-10,39,NotYet
7.9,6.1,28.5,1,-8,39,NotYet
7.9,6.1,28.5,1,-6,39,NotYet
7.9,6.1,28.5,1,-4,39,NotYet
7.9,6.1,28.5,1,-12,39,NotYet
7.9,6.1,28.5,3,-10,39,NotYet
7.9,6.1,28.5,3,-8,39,NotYet
7.9,6.1,28.5,3,-6,39,NotYet
7.9,6.1,28.5,3,-4,39,NotYet
7.9,6.1,28.5,3,-12,39,NotYet
