phi1,phib,a,b,A1,A2,theta,status
39,116,7.8,6,1,-6,27.5,NotYet
39,116,7.8,6,1,-7,27.5,NotYet
39,116,7.8,6,1,-5,27.5,NotYet
39,116,7.8,6,1,-4,27.5,NotYet
39,116,7.8,6,1,-8,27.5,NotYet
38,115,7.8,6.1,1,-6,27.5,NotYet
38,115,7.8,6.1,1,-7,27.5,NotYet
38,115,7.8,6.1,1,-5,27.5,NotYet
38,115,7.8,6.1,1,-4,27.5,NotYet
38,115,7.8,6.1,1,-8,27.5,NotYet
