a,b,theta,A1,A2,phi,status
6.1,7.9,61.5,4,-6,81,NotYet
6.1,7.9,61.5,4,-4,81,NotYet
6.1,7.9,61.5,4,-2,81,NotYet
6.1,7.9,61.5,4,0,81,NotYet
6.1,7.9,61.5,4,2,81,NotYet
6.1,7.9,61.5,3,-6,81,NotYet
6.1,7.9,61.5,3,-4,81,NotYet
6.1,7.9,61.5,3,-2,81,NotYet
6.1,7.9,61.5,3,0,81,NotYet
6.1,7.9,61.5,3,2,81,NotYet
6.1,7.9,61.5,5,-6,81,NotYet
6.1,7.9,61.5,5,-4,81,NotYet
6.1,7.9,61.5,5,-2,81,NotYet
6.1,7.9,61.5,5,0,81,NotYet
6.1,7.9,61.5,5,2,81,NotYet
