a,b,theta,A1,A2,status
6.1,7.9,61.5,0,2,Done
6.1,7.9,61.5,0,4,Done
6.1,7.9,61.5,0,6,Done
6.1,8.0,61.5,0,8,Done
6.1,8.0,61.5,0,10,Done
6.1,8.1,61.5,0,12,Done
6.1,8.1,61.5,0,14,Done
6.1,7.9,61.5,0,-2,Done
6.1,7.9,61.5,0,-4,Done
6.1,7.9,61.5,0,-6,Done
6.1,8.0,61.5,0,-8,Done
6.1,8.0,61.5,0,-10,Done
6.1,8.1,61.5,0,-12,Done
6.1,8.1,61.5,0,-14,Done
