a,b,theta,A1,A2,phi,status
7.9,6.1,28.5,0,-6,39,NotYet
7.9,6.1,28.5,1,-6,39,NotYet
7.9,6.1,28.5,2,-6,39,NotYet
7.9,6.1,28.5,3,-6,39,NotYet
7.9,6.1,28.5,4,-6,39,NotYet
