phi1,phib,a,b,A1,A2,theta,status
39,116,7.8,6,2,-6,27.5,NotYet
39,116,7.8,6,2,-7,27.5,NotYet
39,116,7.8,6,2,-5,27.5,NotYet
39,116,7.8,6,2,-4,27.5,NotYet
39,116,7.8,6,2,-8,27.5,NotYet
39,116,7.8,6,3,-6,27.5,NotYet
39,116,7.8,6,3,-7,27.5,NotYet
39,116,7.8,6,3,-5,27.5,NotYet
39,116,7.8,6,3,-4,27.5,NotYet
39,116,7.8,6,3,-8,27.5,NotYet
39,116,7.8,6,4,-6,27.5,NotYet
39,116,7.8,6,4,-7,27.5,NotYet
39,116,7.8,6,4,-5,27.5,NotYet
39,116,7.8,6,4,-4,27.5,NotYet
39,116,7.8,6,4,-8,27.5,NotYet
