a,b,theta,A1,A2,phi,status
7.9,6.1,28.5,2,-10,39,NotYet
7.9,6.1,28.5,2,-8,39,NotYet
7.9,6.1,28.5,2,-6,39,NotYet
7.9,6.1,28.5,2,-4,39,NotYet
7.9,6.1,28.5,2,-2,39,NotYet
7.9,6.1,28.5,2,-12,39,NotYet
